Date	Device	Signal
Wed Jul  1 12:13:48 2015	GX15	-80
Wed Jul  1 12:13:48 2015	GX15	-82
Wed Jul  1 12:13:48 2015	Nokia108	-72
Wed Jul  1 12:13:48 2015	S5610	-86
Wed Jul  1 12:13:48 2015	GX15	-81
Wed Jul  1 12:13:48 2015	Nokia108	-86
Wed Jul  1 12:13:48 2015	Nokia108	-85
Wed Jul  1 12:13:48 2015	S5610	-83
Wed Jul  1 12:13:58 2015	S5610	-87
Wed Jul  1 12:13:58 2015	Nokia108	-90
Wed Jul  1 12:13:58 2015	S5610	-89
Wed Jul  1 12:13:58 2015	Nokia108	-85
Wed Jul  1 12:13:58 2015	S5610	-90
Wed Jul  1 12:13:58 2015	Nokia108	-82
Wed Jul  1 12:13:58 2015	Nokia108	-81
Wed Jul  1 12:13:58 2015	Nokia108	-89
Wed Jul  1 12:13:59 2015	Nokia108	-72
Wed Jul  1 12:13:59 2015	GX15	-83
Wed Jul  1 12:13:59 2015	GX15	-93
Wed Jul  1 12:13:59 2015	GX15	-83
Wed Jul  1 12:13:59 2015	Nokia108	-91
Wed Jul  1 12:13:59 2015	Martina?s MacBook Pro	-91
Wed Jul  1 12:13:59 2015	GX15	-82
Wed Jul  1 12:13:59 2015	GX15	-80
Wed Jul  1 12:13:59 2015	S5610	-79
Wed Jul  1 12:13:59 2015	Nokia108	-82
Wed Jul  1 12:13:59 2015	S5610	-88
Wed Jul  1 12:14:09 2015	S5610	-86
Wed Jul  1 12:14:09 2015	GX15	-87
Wed Jul  1 12:14:09 2015	GX15	-81
Wed Jul  1 12:14:09 2015	Nokia108	-76
Wed Jul  1 12:14:09 2015	Nokia108	-82
Wed Jul  1 12:14:09 2015	GX15	-83
Wed Jul  1 12:14:20 2015	Nokia108	-82
Wed Jul  1 12:14:20 2015	Nokia108	-85
Wed Jul  1 12:14:20 2015	GX15	-85
Wed Jul  1 12:14:30 2015	GX15	-83
